id	comment	character	yes	no	voice	scene
217002	(hahaha giggling)	ALL			217002	
218001	Here... It's your favorite rice cake!!	OHNUI			218001	218
218002	The sibling carefully placed delicious rice cakes made by her mother in front of the tiger.	NARR			218002	219
219001	The tiger was so hungry, as soon as he saw the rice cake, he started to devour it in hurry with joy	NARR			219001	220
220001	Ewww What’s this awful taste?	TIGER			220001	221
220002	He was a tiger who hated mugwort rice cake with a bitter scent of mugwort.	NARR			220002	221
221001	(Roaring from furious tiger)	TIGER			221001	
221002	Rather, the brother who saw a tiger who was more angry by eating mugwort rice cake	NARR			221001	222
222001	Grabbed his sister's hand and ran out of the back door in a hurry.	NARR			222001	222
222002	Ahhhhhhhh!!!	OHNUI			222002	222
301001	After sibling fled through the back door, find a towering tree after looking around to see where to run.	NARR			301001	301
302001	Sister, let's climb up the tree over there! The tiger's thick feet will not make it up there. 	BOY NARR			302001	302
302002	So The sibling started running toward the tree.	NARR			302002	
303001	When they arrived at the tree, they started climbing it to avoid being caught by the tiger. 	NARR			303001	
303002	Sister, I don't think the tiger noticed yet, sister. Don't worry and go up safely.	BOY			303002	
303003	A mini game that hits a certain number of space bars in a row within a limited time	NARR				303
304001	Later, when the tiger realized that sibling had disappeared in the quiet room, the tiger came out from back door and found them on the tree	NARR			304001	304
305001	Fortunately, sibling had already climbed to the top of the tree. the tiger ran to the tree desperately although it seemed never to be able to climb with his feet.	NARR			305001	
305002	See sister, I was right! right? he can't climb a tree with his own feet.	BOY			305002	305
306001	Is there any way?	TIGER			306001	306
306002	At that time, the tiger saw the tools that are sesame oil and axe in front of the tiger's eyes.	NARR			306002	307
308001	I need to use this to go up! What should I pick?	TIGER	301009	301008	308001	308
309001	The tiger found the ax start to climbing up the tree by axing it.	NARR			309001	309
309002	You guys don't move there! Did you guys think I couldn't climb the tree? I'll catch up soon!	TIGER			309002	
310001	Oh no! The tiger is coming up! What? What should we do?	GIRL BOY			310001	310
310002	What should we do?	BOY			310001	310
310003	The sibling, who had no choice but to look at the tiger coming up, cried with the feeling of catching a straw and prayed by begging hands to the sky.	NARR			310002	311
311001	God, tiger is trying to eat us, if you want us to be saved give us the new rope, but if you want us to be killed give us the rotten rope	OHNUI			311001	311
312001	Then, the heaven, which recognized the pitifulness of the sibling, slowly lowered the new and rotten ropes	NARR			312001	312
313001	What kind of rope should we choose?	OHNUI	301014	301013	313001	313
314001	The sibling, who was thinking about which to grab between two rope that came down from the sky, grabbed one of rope	NARR			314001	314
315001	Unfortunately, however, the rope that the sibling caught was a rotten rope.	NARR			315001	
315002	Brother, why is this rope swaying so much? I'm so nervous.	GIRL			315001	315
316001	The rotten rope that couldn't withstand the heavy force began to cut off.	NARR			316001	
316002	brother -> sister Brother, the roping is cutting off!	BOY			316001	316
317001	Brother, save me!	GIRL			317001	317
317002	Eventually the rotten rope has cutted off, and the tiger can't do anything but just looking at the sibling	NARR			317002	318
318001	After that it happend there was only a calm wind left in the village.	NARR			318001	
319001	The sibling, who was thinking about which to grab between two rope that came down from the sky,	NARR			319001	319
320001	Grabbed one of rope Then, the new rope began to rise to the sky.	NARR			320001	
320002	Wow! we survived! we are going up into the sky! 	OHNUI			320002	320
320003	What's that rope?	TIGER				
321001	The tiger quickly climbed up the tree and said the same thing after seeing the sibling climb up to the sky in front of his eyes.	NARR			321001	321
321002	If I shout the same thing, the heaven will drop me a new rope	TIGER			321002	
322001	God, if you want us to be saved give us the new rope, but if you want us to be killed give us the rotten rope!	TIGER			322001	322
323001	Then, thunderstorms came down from the sky with the rumbling sound Heaven, who was very angry at the tiger for trying to devour the sibling, gave only the rotten rope with the strong thunderstorms.	NARR			323001	323
324001	The tiger didn't know that and grabbed the rotten rope.	NARR			324001	
324002	Haha! see! THE heaven knows me!. Shall we go get the sibling?	TIGER			324002	324
325001	When the tiger came up holding the rope, the sibling was surprised.	NARR			325001	325
325002	Brother, look over there. tiger is following us up into the sky!	GIRL			325002	
325003	Sibling, stop there! I'll never miss it this time!	TIGER			325003	
326001	At that moment. the rope that tiger was holding, made craking sound and start to cutting off	NARR TIGER			326001	326
326002	Huh? It wasn't a new rope? It can't be cut off!	TIGER			326002	
327001	Ohhhhhhh, please save me!	TIGER			327001	
327002	동생아, 호랑이가 잡고 있는 동아줄이 끊어지고 있어! 하늘님께서 썩은 동아줄을 내려 주신 모양이야. sister로 변경해야할 것 같아요 Brother, the rope that the tiger is holding is cutting off! It seems that heaven gave him the rotten rope.	BOY			327002	327
328001	결국 호랑이가 잡고 있던 썩은 동아줄은 끊어져 버렸고, 호랑이는 수수밭으로 떨어져 수수를 붉게 물들이게 되었답니다. All of the sudden, the rotten rope that tiger was holding was starting to break. The tiger fell into the sorghum field and turned the sorghum red. - > 대사 변경되고 번역기 돌려봤어유 괜찮은 걸로 쓰세유 Eventually, the rotten rope that the tiger was holding broke, and the tiger fell into the sorghum field and turned the sorghum red.	NARR			328001	328
329001	When the tiger fell, the sibling were relieved, and they continued to climb up the rope to the sky.	NARR BOY GIRL			329001	329
329002	Brother, we really survived. I'm glad!	GIRL			329002	
329003	I'm so glad too. But where are we going?	BOY			329002	
330001	After reaching heaven, the rope finally stopped, and the sibling asked god how to return the favor. Then, god began to talk. Welcome, sibling. I have some mission to leave it up to you guys. Why don't you become the sun and moon of the sky and protect the sky? You, the younger become the sun and you, the older, become the moon. In this way, sibling became the sun and the moon, shining bright lights all over the world during the day, and also giving the sole light to those who pass by the night road at the darkness so can make the world more brighter. And they lived happily together for a long time.	NARR 			330001	330
330002	Welcome, sibling. I have some mission to leave it up to you guys. Why don't you become the sun and moon of the sky and protect the sky? You, the younger become the sun and you, the older, become the moon.	GOD			330001	330
330003	In this way, sibling became the sun and the moon, shining bright lights all over the world during the day, and also giving the sole light to those who pass by the night road at the darkness so can make the world more brighter. And they lived happily together for a long time.	NARR			330001	330
